Cloud with a total of 13 clusters.
intracluster-distance (maximum): 19.6119.
intercluster-distance (minimum): 2.97911.
best intra-inter cluster distance ratio: 0.0389535.
31.95 7.95 13
31.15 7.3 13
30.45 6.65 13
29.7 6 13
28.9 5.55 13
28.05 5 13
27.2 4.55 13
26.35 4.15 13
25.4 3.85 13
24.6 3.6 13
23.6 3.3 13
22.75 3.15 13
21.85 3.05 13
20.9 3 13
20 2.9 13
19.1 3 13
18.2 3.2 13
17.3 3.25 13
16.55 3.5 13
15.7 3.7 13
14.85 4.1 13
14.15 4.4 12
13.4 4.75 12
12.7 5.2 12
12.05 5.65 12
11.45 6.15 12
10.9 6.65 12
10.3 7.25 12
9.7 7.85 12
9.35 8.35 11
8.9 9.05 11
8.55 9.65 11
8.15 10.35 11
7.95 10.95 11
7.75 11.7 11
7.55 12.35 11
7.45 13 11
7.35 13.75 11
7.3 14.35 11
7.35 14.95 11
7.35 15.75 11
7.55 16.35 11
7.7 16.95 11
7.8 17.55 11
8.05 18.15 11
8.3 18.75 11
8.65 19.3 11
8.9 19.85 11
9.3 20.3 11
9.65 20.8 11
10.2 21.25 11
10.6 21.65 11
11.1 22.15 11
11.55 22.45 10
11.95 22.7 10
12.55 23 10
13.05 23.2 10
13.45 23.4 10
14 23.55 10
14.55 23.6 10
15.1 23.75 10
15.7 23.75 10
16.15 23.85 10
16.7 23.8 10
17.15 23.75 10
17.75 23.75 10
18.2 23.6 10
18.65 23.5 10
19.1 23.35 10
19.6 23.15 10
20 22.95 10
20.4 22.7 10
20.7 22.55 10
21 22.15 10
21.45 21.95 10
21.75 21.55 10
22 21.25 9
22.25 21 9
22.5 20.7 9
22.65 20.35 9
22.75 20.05 9
22.9 19.65 9
23 19.35 9
23.1 19 9
23.15 18.65 9
23.2 18.25 9
23.2 18.05 9
23.2 17.8 9
23.1 17.45 9
23.05 17.15 9
22.9 16.9 9
22.85 16.6 9
22.7 16.4 9
22.6 16.2 9
22.55 16.05 9
22.4 15.95 9
22.35 15.8 9
22.2 15.65 9
22.15 15.55 9
22 15.4 9
21.9 15.3 9
21.85 15.25 9
21.75 15.15 9
21.65 15.05 9
21.55 15 9
21.5 14.9 9
19.35 31.65 8
20.35 31.45 8
21.35 31.1 8
22.25 30.9 8
23.2 30.45 8
23.95 30.05 8
24.9 29.65 8
25.6 29.05 8
26.35 28.5 8
27.15 27.9 8
27.75 27.35 8
28.3 26.6 8
28.95 25.85 8
29.5 25.15 8
29.95 24.45 8
30.4 23.7 8
30.6 22.9 8
30.9 22.1 8
31.25 21.3 7
31.35 20.55 7
31.5 19.7 7
31.55 18.9 7
31.65 18.15 7
31.6 17.35 7
31.45 16.55 7
31.3 15.8 7
31.15 15.05 7
30.9 14.35 7
30.6 13.65 7
30.3 13 7
29.9 12.3 7
29.5 11.75 7
29 11.15 7
28.5 10.6 7
28 10.1 7
27.55 9.65 7
26.9 9.1 7
26.25 8.8 7
25.7 8.4 7
25.15 8.05 7
24.5 7.75 7
23.9 7.65 7
23.15 7.4 7
22.5 7.3 7
21.9 7.1 7
21.25 7.05 7
20.5 7 7
19.9 6.95 6
19.25 7.05 6
18.75 7.1 6
18.05 7.25 6
17.5 7.35 6
16.9 7.6 6
16.35 7.8 6
15.8 8.05 6
15.4 8.35 6
14.9 8.7 6
14.45 8.9 6
13.95 9.3 6
13.6 9.65 6
13.25 10.1 6
12.95 10.55 6
12.65 10.9 6
12.35 11.4 6
12.2 11.75 6
11.95 12.2 6
11.8 12.65 6
11.75 13.05 6
11.55 13.6 6
11.55 14 5
11.55 14.35 5
11.55 14.7 5
11.6 15.25 5
11.65 15.7 5
11.8 16.05 5
11.85 16.5 5
12 16.75 5
12.15 17.2 5
12.3 17.6 5
12.55 17.85 5
12.8 18.05 5
13.1 18.4 5
13.3 18.6 5
13.55 18.85 5
13.8 19.05 5
14.15 19.25 5
14.45 19.5 5
14.85 19.55 5
15 19.7 5
15.25 19.7 5
15.55 19.85 5
15.95 19.9 5
16.2 19.9 5
16.55 19.9 5
16.85 19.9 5
17.2 19.9 5
17.4 19.8 5
17.65 19.75 5
17.8 19.7 5
18 19.6 5
18.2 19.55 5
3.9 9.6 4
3.55 10.65 4
3.35 11.4 4
3.1 12.35 4
3.1 13.25 4
3.05 14.15 4
3 15.1 4
3.1 16 4
3.2 16.85 4
3.45 17.75 4
3.7 18.7 4
3.95 19.55 4
4.35 20.25 4
4.7 21.1 4
5.15 21.8 4
5.6 22.5 4
6.2 23.3 4
6.8 23.85 4
7.35 24.45 4
8.05 24.95 4
8.8 25.45 4
9.5 26 4
10.2 26.35 4
10.9 26.75 4
11.7 27 4
12.45 27.25 4
13.3 27.6 3
14.05 27.6 3
14.7 27.75 3
15.55 27.75 3
16.4 27.75 3
17.1 27.75 3
17.9 27.75 3
18.55 27.7 3
19.35 27.6 3
20.1 27.35 3
20.7 27.1 3
21.45 26.8 3
22.05 26.5 3
22.7 26.15 3
23.35 25.65 3
23.8 25.3 2
24.3 24.85 2
24.75 24.35 2
25.25 23.95 2
25.65 23.45 2
26.05 23 2
26.2 22.3 2
26.6 21.8 2
26.75 21.25 2
27 20.7 2
27.15 20.15 2
27.15 19.6 2
27.35 19.1 2
27.35 18.45 2
27.4 18 2
27.3 17.4 2
27.15 16.9 2
27 16.4 2
27 15.9 2
26.75 15.35 2
26.55 14.85 2
26.3 14.45 2
25.95 14.1 2
25.75 13.7 2
25.35 13.3 2
25.05 12.95 2
24.8 12.7 2
24.4 12.45 2
24.05 12.2 2
23.55 11.85 2
23.2 11.65 2
22.75 11.4 2
22.3 11.3 2
21.9 11.1 2
21.45 11.05 2
21.1 11 1
20.7 10.95 1
20.35 10.95 1
19.95 11 1
19.55 11 1
19.15 11.05 1
18.85 11.1 1
18.45 11.25 1
18.15 11.35 1
17.85 11.5 1
17.5 11.7 1
17.2 11.95 1
17 12.05 1
16.75 12.2 1
16.65 12.35 1
16.5 12.5 1
16.35 12.7 1
16.2 12.8 1
16.15 12.95 1
16 13.1 1
15.95 13.25 1
15.9 13.4 1
15.8 13.5 1
15.8 13.65 1
15.75 13.85 1
15.65 14.05 1
15.65 14.25 1
15.65 14.5 1
15.65 14.6 1
