Cloud with a total of 3 clusters.
intracluster-distance (maximum): 20.7966.
intercluster-distance (minimum): 9.66988.
best intra-inter cluster distance ratio: 0.238962.
26.75 22.15 3
29.8 22.15 3
31.55 21.1 3
27.7 20.85 3
29.9 19.95 3
26.8 19.05 3
28.35 18.25 3
30.4 17.85 3
27.25 16.7 3
29.05 16 3
27.15 14.85 3
28.2 13.95 3
30.35 13.85 3
27.25 11.95 3
29.45 12.05 3
31.55 12.2 3
33.05 10.65 3
29.95 9.85 3
28 9.75 3
27.15 7.85 3
29.15 8.1 3
31.95 8.6 3
34.7 8.55 3
34.8 12.25 3
36.3 15.25 3
36.6 13.2 3
38.7 14.25 3
40.3 15.5 3
42.25 14.25 3
40.7 12.8 3
38.6 12.1 3
36.1 10.5 3
38.35 10.4 3
37.65 8.4 3
40.15 8.55 3
40.8 10.65 3
42.9 11.25 3
41.95 8.5 3
42.45 17.45 3
40.25 18.45 3
42.55 19.45 3
40.95 20.65 3
42.25 22.15 3
38.85 22.4 3
38.4 20 3
35.25 20.2 3
33.25 21 3
34.15 22.35 3
35.55 22.5 3
36.55 21.4 3
33.35 19.6 3
32.85 19.55 3
32.4 19.15 3
32.45 18.7 3
32.8 18.9 3
33.2 19.2 3
33.7 19.05 3
33.4 18.75 3
33.05 18.5 3
32.8 18.2 3
34 18.7 3
33.85 18.25 3
33.35 18.15 3
32.8 17.7 3
33.15 17.55 3
33.75 17.75 3
34.15 17.85 3
34.35 18.35 3
34.95 18.5 3
34.75 18.05 3
35.15 18.05 3
35.65 18.15 3
35.45 18.7 3
36.05 18.75 3
36.25 18.2 3
36.6 18.7 3
37.1 18.5 3
36.75 18.1 3
37.65 18.3 3
37.15 17.85 3
37.65 17.75 3
38.05 18.1 3
38.45 17.7 3
38.8 17.3 3
38.2 17.25 3
38.6 16.8 3
38.25 16.35 3
37.9 16.85 3
37.5 17.3 3
37.65 16.4 3
37.15 16.7 3
37 17.15 3
36.6 17.4 3
36.15 17.55 3
35.75 17.65 3
36.6 16.9 3
36.05 16.95 3
35.45 17 3
35.3 17.55 3
34.9 17 3
34.75 17.45 3
34.3 17.35 3
34.3 16.8 3
33.9 17.2 3
33.35 17.05 3
32.85 16.95 3
33.55 16.6 3
34 16.4 3
32.45 17.2 3
32.1 16.85 3
31.7 16.65 3
31.2 16.35 3
30.95 15.75 3
31.15 15.35 3
31.45 15.1 3
31.75 14.7 3
32.15 14.35 3
32.65 14.15 3
33.15 14.05 3
33.8 13.9 3
34.35 14.2 3
34.3 14.85 3
34.05 15.35 3
33.9 15.95 3
33.35 16.05 3
33 16.5 3
32.45 16.6 3
31.95 16.25 3
31.5 15.85 3
31.75 15.4 3
32.15 15.8 3
32.55 16.1 3
32.9 15.7 3
32.55 15.4 3
32.05 15.2 3
32.5 14.8 3
33 15.25 3
33.5 15.6 3
33.6 15.05 3
