Cloud with a total of 15 clusters.
intracluster-distance (maximum): 1.6813.
intercluster-distance (minimum): 1.67066.
best intra-inter cluster distance ratio: 0.00447275.
9.802 10.132 15
10.35 9.768 15
10.098 9.988 15
9.73 9.91 15
9.754 10.43 15
9.836 9.902 15
10.238 9.866 15
9.53 9.862 15
10.154 9.82 15
9.336 10.456 15
9.378 10.21 15
9.712 10.264 15
9.638 10.208 15
9.518 9.956 15
10.236 9.91 15
9.4 10.086 15
10.196 9.746 15
10.138 9.828 15
10.062 10.26 15
10.394 9.984 15
10.284 10.348 15
9.706 9.978 15
9.906 10.588 15
10.356 9.198 0
9.954 9.704 15
9.796 10.378 15
10.386 10.608 15
10.41 9.912 15
10.172 10.598 15
10.286 9.712 15
9.932 10.234 15
10.298 9.948 15
10.352 9.932 15
9.848 10.328 15
10.514 10.498 15
9.944 9.934 15
9.92 10.022 15
9.908 10.606 15
10.182 9.99 15
10.256 9.25 0
12.04 10.028 14
12.082 10.044 14
12.4 10.156 14
11.988 9.926 14
12.34 9.918 14
12.228 9.978 14
12.348 10.488 14
12.044 9.358 14
11.736 10.122 14
12.35 9.798 14
11.246 10.122 14
12.276 10.99 0
12.374 10.018 14
12.53 10 14
12.27 9.792 14
12.364 10.176 14
12.458 10.18 14
11.952 9.682 14
11.772 9.924 14
11.502 10.008 14
12.134 9.482 14
11.628 10.286 14
12.064 9.616 14
11.906 9.82 14
11.736 10.29 14
12.114 10.904 0
11.59 9.712 14
12.648 9.814 14
12.164 11.018 0
12.22 9.796 14
11.846 9.634 14
11.808 10.058 14
12.096 9.846 14
11.594 10.078 14
12.252 9.938 14
11.998 9.676 14
11.894 10.012 14
12.274 9.936 14
12.176 10.364 14
12.104 10.388 14
11.372 11.466 13
10.94 11.482 13
11.084 11.554 13
11.232 11.374 13
11.22 11.64 13
10.962 11.75 13
11.014 11.746 13
11.524 10.982 0
11.012 11.364 13
11.2 11.062 13
11.626 11.894 13
11.23 11.728 13
11.144 11.91 13
11.106 11.868 13
11.53 11.918 13
11.21 11.114 13
10.746 11.702 13
11.154 11.692 13
11.412 11.924 13
10.948 11.532 13
10.988 12.298 13
10.96 11.392 13
11.656 11.346 13
11.178 12.062 13
11.368 11.56 13
11.264 11.724 13
11.554 11.576 13
10.974 11.114 13
11.12 11.634 13
11.51 12.052 13
10.95 11.402 13
11.864 12.406 0
11.198 10.854 13
11.65 11.496 13
11.248 11.722 13
11.602 11.888 13
11.424 11.454 13
11.312 11.718 13
10.736 11.68 13
11.56 11.798 13
10.028 12.268 12
9.282 11.976 12
9.178 11.53 12
9.954 12.398 12
9.622 11.558 12
9.914 11.844 12
9.07 11.092 0
10.578 11.354 0
9.582 12.14 12
9.622 11.528 12
9.35 11.71 12
10.234 11.974 12
8.986 12.31 12
9.438 12.11 12
9.592 12.012 12
9.666 11.88 12
9.364 12.012 12
9.71 11.772 12
9.992 11.836 12
9.916 12.028 12
9.382 12.226 12
9.808 12.23 12
9.272 12.152 12
9.392 11.18 0
9.28 11.976 12
9.848 11.632 12
9.322 11.514 12
9.718 11.95 12
9.12 11.76 12
8.978 12.37 12
10.072 12.202 12
9.966 11.822 12
9.506 11.648 12
9.702 11.536 12
9.45 11.96 12
9.916 11.962 12
9.96 11.538 12
9.014 11.744 12
9.024 11.846 12
10.296 11.61 0
7.87 10.838 11
8.164 10.534 11
8.214 10.62 11
8.166 10.698 11
8.05 10.746 11
7.978 11.13 11
8.08 10.992 11
8.472 11.082 11
8.494 10.584 11
8.354 10.38 11
8.096 10.714 11
7.882 10.832 11
7.908 11.346 11
7.814 10.872 11
8.28 10.104 11
8.082 10.676 11
8.068 10.118 11
8.116 10.698 11
8.042 10.79 11
8.096 10.878 11
8.124 10.932 11
8.632 11.124 11
8.27 10.716 11
7.622 10.148 0
8.198 11.398 11
8.582 11.064 11
7.942 11.076 11
8.004 10.574 11
8.504 11.378 11
8.118 11.012 11
7.874 11.296 11
7.668 10.924 11
7.966 10.72 11
7.94 10.996 11
7.988 11.228 11
8.164 11.112 11
8.386 10.772 11
8.248 10.994 11
8.286 10.734 11
8.224 10.316 11
7.976 9.578 10
7.876 8.796 10
8.172 9.01 10
8.068 9.202 10
8.416 8.654 10
8.71 8.458 10
8.056 8.434 10
7.304 9.266 0
8.118 8.608 10
7.616 9.446 10
8.092 8.956 10
8.368 8.968 10
8.022 9.334 10
8.32 9.062 10
7.832 8.952 10
7.704 8.672 10
8.236 9.108 10
8.37 8.904 10
8.352 8.896 10
8.046 9.228 10
7.71 9.538 10
8.534 8.55 10
7.996 9.172 10
8.046 9.204 10
8.622 9.174 10
7.776 8.898 10
8.226 9.038 10
7.904 9.194 10
7.874 8.856 10
7.992 8.952 10
8.262 9.468 10
8.088 9.294 10
8.034 9.792 10
8.352 9.016 10
7.85 9.334 10
8.404 9.366 10
7.892 8.808 10
8.202 9.232 10
7.668 9.026 10
8.242 9.308 10
9.432 8.61 9
10.066 8.19 9
9.146 8.044 9
9.662 7.866 9
9.6 7.874 9
8.618 8.552 10
9.334 7.658 9
9.424 7.83 9
8.892 8.166 9
9.386 7.746 9
9.878 8.054 9
9.558 7.948 9
9.222 8.002 9
9.52 8.282 9
9.76 7.932 9
9.568 8.052 9
9.736 7.552 9
9.584 8.478 9
9.358 8.242 9
9.404 7.79 9
9.458 8.54 9
9.482 7.766 9
8.844 8.024 9
9.29 8.472 9
9.274 7.566 9
9.11 8.014 9
9.542 7.688 9
9.432 8.122 9
9.786 8.066 9
9.382 7.664 9
9.404 8.228 9
9.146 8.158 9
9.622 8.004 9
10.286 7.892 0
9.43 7.676 9
9.44 8.058 9
9.788 7.684 9
9.586 7.91 9
9.694 7.448 9
9.576 7.866 9
11.442 8.688 8
11.466 8.558 8
10.674 8.936 8
11.23 8.126 8
11.614 8.588 8
11.59 8.496 8
11.536 7.586 0
11.638 8.266 8
11.16 8.43 8
10.904 8.532 8
11.284 8.742 8
11.25 8.192 8
10.84 8.218 8
11.798 8.836 8
11.51 8.094 8
10.932 7.796 8
11.404 8.206 8
11.088 8.326 8
11.334 8.17 8
11.272 8.394 8
11.59 8.408 8
11.212 8.516 8
11.566 8.024 8
11.246 8.584 8
11.252 8.566 8
10.78 8.294 8
11.04 8.322 8
11.198 7.886 8
11.168 8.262 8
11.88 8.08 8
11.356 8.586 8
11.182 8.342 8
10.836 8.664 8
11.696 8.906 8
11.282 8.28 8
10.718 8.534 8
10.444 8.684 8
11.124 8.618 8
